2024-05-17 23:49:30,508 - ERROR - Error: 400 Client Error:  for url: https://croris.hr/crosbi-api/publikacija/crosbiId
2024-05-17 23:49:30,508 - ERROR - Failed to fetch publication with crosbiId: crosbiId
2024-05-17 23:57:04,379 - INFO - Fetched publication with crosbiId: 304150, status code: 200
2024-05-17 23:57:04,886 - INFO - Data saved successfully to fullPublications.pkl.
2024-05-17 23:57:04,965 - INFO - Fetched publication with crosbiId: 304151, status code: 200
2024-05-17 23:57:05,548 - INFO - Fetched publication with crosbiId: 304155, status code: 200
2024-05-17 23:57:06,116 - INFO - Fetched publication with crosbiId: 304157, status code: 200
2024-05-17 23:57:06,713 - INFO - Fetched publication with crosbiId: 304159, status code: 200
2024-05-17 23:57:07,297 - INFO - Fetched publication with crosbiId: 304160, status code: 200
2024-05-17 23:57:07,901 - INFO - Fetched publication with crosbiId: 304162, status code: 200
2024-05-17 23:57:08,499 - INFO - Fetched publication with crosbiId: 304163, status code: 200
2024-05-17 23:57:09,091 - INFO - Fetched publication with crosbiId: 304165, status code: 200
2024-05-17 23:57:09,681 - INFO - Fetched publication with crosbiId: 304166, status code: 200
2024-05-17 23:57:10,252 - INFO - Fetched publication with crosbiId: 304167, status code: 200
2024-05-17 23:57:10,761 - INFO - Data saved successfully to fullPublications.pkl.
2024-05-17 23:57:10,850 - INFO - Fetched publication with crosbiId: 304168, status code: 200
2024-05-17 23:57:11,428 - INFO - Fetched publication with crosbiId: 304170, status code: 200
2024-05-17 23:57:11,990 - INFO - Fetched publication with crosbiId: 304172, status code: 200
2024-05-17 23:57:12,561 - INFO - Fetched publication with crosbiId: 304174, status code: 200
2024-05-17 23:57:12,868 - INFO - Program interrupted by the user.
